EstimatedValue,ActualValue,DistanceBetweenBars,Visualization,Grid,Markers,User
28,70.11494253,4,Grid,Grid,Average Markers,Casey
95,61.62790698,1,Grid,Grid,Average Markers,Alec
50,20.37037037,1,Grid,Grid,Average Markers,Emma
17,45.45454545,7,Grid,Grid,Average Markers,Alec
70,84.50704225,5,Grid,Grid,Average Markers,Olivia
86,74.24242424,4,Grid,Grid,Average Markers,Mairead
19,30.43478261,2,Grid,Grid,Average Markers,Casey
60,69.56521739,3,Grid,Grid,Average Markers,Jillian
87,78.57142857,3,Grid,Grid,Average Markers,Casey
66,74.19354839,2,Grid,Grid,Average Markers,Jared
70,78.125,2,Grid,Grid,Average Markers,Olivia
66,57.95454545,6,Grid,Grid,Average Markers,Mairead
60,67.85714286,3,Grid,Grid,Average Markers,Jared
20,25.53191489,6,Grid,Grid,Average Markers,Mairead
45,39.62264151,2,Grid,Grid,Average Markers,Allie
33,38,1,Grid,Grid,Average Markers,Olivia
94,89.28571429,1,Grid,Grid,Average Markers,Casey
18,22.22222222,5,Grid,Grid,Average Markers,Mairead
60,64.04494382,4,Grid,Grid,Average Markers,Allie
89,92.95774648,5,Grid,Grid,Average Markers,Lauren
70,73.91304348,4,Grid,Grid,Average Markers,Olivia
38,34.14634146,5,Grid,Grid,Average Markers,Mairead
45,41.2371134,3,Grid,Grid,Average Markers,Allie
45,41.30434783,4,Grid,Grid,Average Markers,Casey
65,68.6746988,3,Grid,Grid,Average Markers,Jillian
50,53.57142857,6,Grid,Grid,Average Markers,Jillian
38,34.48275862,1,Grid,Grid,Average Markers,Mairead
72,68.57142857,1,Grid,Grid,Average Markers,Lauren
60,63.41463415,0,Grid,Grid,Average Markers,Alec
70,66.66666667,5,Grid,Grid,Average Markers,Olivia
30,33.33333333,2,Grid,Grid,Average Markers,Alec
30,26.74418605,1,Grid,Grid,Average Markers,Alec
95,97.89473684,3,Grid,Grid,Average Markers,Jared
60,62.85714286,1,Grid,Grid,Average Markers,Jared
13,15.85365854,5,Grid,Grid,Average Markers,Ali
87,89.74358974,0,Grid,Grid,Average Markers,Jared
70,72.72727273,0,Grid,Grid,Average Markers,Jared
50,52.63157895,6,Grid,Grid,Average Markers,Ali
34,36.55913978,1,Grid,Grid,Average Markers,Mairead
95,92.45283019,3,Grid,Grid,Average Markers,Allie
75,77.5,6,Grid,Grid,Average Markers,Allie
84,86.45833333,5,Grid,Grid,Average Markers,Jared
80,77.55102041,1,Grid,Grid,Average Markers,Allie
80,82.35294118,2,Grid,Grid,Average Markers,Alec
90,92.30769231,1,Grid,Grid,Average Markers,Olivia
83,85.22727273,0,Grid,Grid,Average Markers,Casey
80,82.22222222,6,Grid,Grid,Average Markers,Jared
90,92.20779221,6,Grid,Grid,Average Markers,Alec
68,65.85365854,0,Grid,Grid,Average Markers,Sarah
95,92.85714286,1,Grid,Grid,Average Markers,Sarah
75,72.88135593,3,Grid,Grid,Average Markers,Mairead
70,72.09302326,2,Grid,Grid,Average Markers,Jared
15,17.04545455,1,Grid,Grid,Average Markers,Olivia
60,62,2,Grid,Grid,Average Markers,Sarah
92,90,6,Grid,Grid,Average Markers,Casey
98,100,5,Grid,Grid,Average Markers,Ali
25,26.96629213,0,Grid,Grid,Average Markers,Olivia
18,19.6969697,3,Grid,Grid,Average Markers,Jillian
80,81.66666667,2,Grid,Grid,Average Markers,Lauren
41,42.59259259,0,Grid,Grid,Average Markers,Sarah
35,36.58536585,4,Grid,Grid,Average Markers,Alec
94,95.45454545,0,Grid,Grid,Average Markers,Emma
70,71.42857143,6,Grid,Grid,Average Markers,Casey
96,97.4025974,0,Grid,Grid,Average Markers,Allie
80,81.31868132,1,Grid,Grid,Average Markers,Jillian
70,71.18644068,6,Grid,Grid,Average Markers,Allie
40,41.11111111,1,Grid,Grid,Average Markers,Allie
65,63.93442623,1,Grid,Grid,Average Markers,Jillian
83,84,0,Grid,Grid,Average Markers,Lauren
57,57.89473684,6,Grid,Grid,Average Markers,Casey
97,97.87234043,0,Grid,Grid,Average Markers,Jared
82,82.85714286,8,Grid,Grid,Average Markers,Jillian
93,93.81443299,4,Grid,Grid,Average Markers,Casey
25,25.80645161,0,Grid,Grid,Average Markers,Jillian
80,79.22077922,0,Grid,Grid,Average Markers,Ali
35,34.24657534,7,Grid,Grid,Average Markers,Jillian
86,86.74698795,2,Grid,Grid,Average Markers,Emma
24,23.40425532,4,Grid,Grid,Average Markers,Emma
29,29.50819672,0,Grid,Grid,Average Markers,Sarah
68,67.5,1,Grid,Grid,Average Markers,Emma
38,38.46153846,0,Grid,Grid,Average Markers,Lauren
48,47.54098361,5,Grid,Grid,Average Markers,Sarah
61,61.44578313,2,Grid,Grid,Average Markers,Sarah
40,40.38461538,4,Grid,Grid,Average Markers,Sarah
22,22.35294118,0,Grid,Grid,Average Markers,Emma
79,78.65168539,0,Grid,Grid,Average Markers,Ali
67,66.66666667,1,Grid,Grid,Average Markers,Lauren
33,33.33333333,4,Grid,Grid,Average Markers,Lauren
83,83.33333333,3,Grid,Grid,Average Markers,Alec
57,57.31707317,0,Grid,Grid,Average Markers,Emma
20,20.3125,4,Grid,Grid,Average Markers,Ali
75,75.30864198,1,Grid,Grid,Average Markers,Lauren
82,81.72043011,0,Grid,Grid,Average Markers,Sarah
27,26.76056338,2,Grid,Grid,Average Markers,Lauren
59,59.21052632,6,Grid,Grid,Average Markers,Emma
53,53.19148936,0,Grid,Grid,Average Markers,Emma
90,90.14084507,2,Grid,Grid,Average Markers,Mairead
87,86.9047619,4,Grid,Grid,Average Markers,Ali
34,34.04255319,0,Grid,Grid,Average Markers,Emma
96,95.95959596,3,Grid,Grid,Average Markers,Ali
66,66.03773585,3,Grid,Grid,Average Markers,Sarah
20,20,0,Grid,Grid,Average Markers,Jillian
75,75,8,Grid,Grid,Average Markers,Ali
100,100,2,Grid,Grid,Average Markers,Ali
68,68,4,Grid,Grid,Average Markers,Lauren
50,50,4,Grid,Grid,Average Markers,Olivia
25,25,2,Grid,Grid,Average Markers,Olivia
25,25,1,Grid,Grid,Average Markers,Allie
90,90,2,Grid,Grid,Average Markers,Alec
26,70.93023256,3,"Grid, Fewer markers",Grid,Fewer Markers,Casey
40,57.89473684,4,"Grid, Fewer markers",Grid,Fewer Markers,Casey
60,72.91666667,2,"Grid, Fewer markers",Grid,Fewer Markers,Olivia
30,18.46153846,4,"Grid, Fewer markers",Grid,Fewer Markers,Casey
70,58.94736842,1,"Grid, Fewer markers",Grid,Fewer Markers,Mairead
40,50,2,"Grid, Fewer markers",Grid,Fewer Markers,Jared
