givenAnswer,expectedAnswer,chartType,colorType,UID,firstTryError,actualError
0.8925,0.844702,bar,color,Alex 1,-2.532841575,2.29419431
0.255,0.315476,bar,color,Alex 1,-2.430695576,2.625878304
0.4225,0.411261,bar,color,Alex 1,-2.875788344,0.320657964
0.4575,0.466267,bar,color,Alex 1,-2.902205844,0.002450499
0.1675,0.185714,bar,color,Alex 1,-2.803755564,0.960808225
0.91,0.853301,bar,color,Alex 1,-2.460377615,2.534783766
0.74,0.733238,bar,color,Alex 1,-2.923993736,-0.319765674
0.985,0.970455,bar,color,Alex 1,-2.841197662,0.659467937
0.4225,0.404412,bar,color,Alex 1,-2.805025409,0.951438594
0.3325,0.348921,bar,color,Alex 1,-2.821931729,0.821383684
0.3375,0.368831,pie,color,Alex 1,-2.677324206,1.704030885
0.915,0.856863,pie,color,Alex 1,-2.4490048,2.570147155
0.2625,0.416438,pie,color,Alex 1,-1.841983607,3.9559451
0.5025,0.555423,pie,color,Alex 1,-2.490675076,2.437573987
0.045,0.061979,pie,color,Alex 1,-2.816250537,0.866235421
0.93,0.730114,pie,color,Alex 1,-1.621994519,4.330099418
0.0575,0.10817,pie,color,Alex 1,-2.509060258,2.376290383
0.875,0.782822,pie,color,Alex 1,-2.203050128,3.223854985
0.305,0.354922,pie,color,Alex 1,-2.515216346,2.355354621
0.91,0.776087,pie,color,Alex 1,-1.94946069,3.756628372
0.295,0.384405,donut,color,Alex 1,-2.221589545,3.180386593
0.2475,0.37738,donut,color,Alex 1,-1.972109923,3.712925879
0.8825,0.953425,donut,color,Alex 1,-2.351626598,2.851499202
0.49,0.61136,donut,color,Alex 1,-2.021160062,3.616004744
0.9,0.893048,donut,color,Alex 1,-2.921914877,-0.285952351
0.8575,0.801262,donut,color,Alex 1,-2.464042619,2.52326084
0.165,0.225446,donut,color,Alex 1,-2.430928945,2.625176957
0.59,0.61753,donut,color,Alex 1,-2.712835071,1.525066592
0.83,0.815857,donut,color,Alex 1,-2.845359763,0.622274431
0.275,0.364829,donut,color,Alex 1,-2.218739337,3.187118452
0.66,0.608635,bar,color,Pooja 1,-2.503363811,2.395474156
0.3025,0.39243,bar,color,Pooja 1,-2.218061226,3.188717409
0.2025,0.23348,bar,color,Pooja 1,-2.680567039,1.688404188
0.5,0.523522,bar,color,Pooja 1,-2.751251447,1.308710351
0.5,0.532297,bar,color,Pooja 1,-2.668436939,1.746183757
0.8025,0.842,bar,color,Pooja 1,-2.603840511,2.026800059
0.4,0.47619,bar,color,Pooja 1,-2.313369496,2.953078953
0.6475,0.612595,bar,color,Pooja 1,-2.644713044,1.854195176
0.2925,0.35,bar,color,Pooja 1,-2.454031631,2.554588852
0.205,0.288618,bar,color,Pooja 1,-2.261064453,3.085220679
0.2375,0.351613,pie,color,Pooja 1,-2.064235527,3.528108682
0.9425,0.825581,pie,color,Pooja 1,-2.047404014,3.562779709
0.985,0.770563,pie,color,Pooja 1,-1.558784262,4.430867319
0.195,0.132997,pie,color,Pooja 1,-2.41886668,2.661133906
0.0675,0.087312,pie,color,Pooja 1,-2.787746937,1.074642438
0.995,0.874854,pie,color,Pooja 1,-2.028286873,3.60164898
0.995,0.952164,pie,color,Pooja 1,-2.574875895,2.140320585
0.85,0.59605,pie,color,Pooja 1,-1.399920588,4.673556424
0.3325,0.193671,pie,color,Pooja 1,-1.922324941,3.808168785
0.51,0.545775,pie,color,Pooja 1,-2.636885005,1.888499736
0.33,0.608939,donut,color,Pooja 1,-1.307790651,4.808328413
0.5125,0.518382,donut,color,Pooja 1,-2.933661396,-0.487621392
0.3325,0.400799,donut,color,Pooja 1,-2.371093921,2.798029771
0.995,0.997925,donut,color,Pooja 1,-2.966629862,-1.260151897
1,0.963824,donut,color,Pooja 1,-2.63329116,1.904040865
0.9325,0.552,donut,color,Pooja 1,-0.984217003,5.254556252
1,0.980183,donut,color,Pooja 1,-2.787697125,1.074984885
0.78,0.605483,donut,color,Pooja 1,-1.739290205,4.135592327
0.21,0.385298,donut,color,Pooja 1,-1.735533228,4.141988573
0.555,0.593407,donut,color,Pooja 1,-2.613458308,1.987575544
0.5,0.479374,bar,color,Alex 2,-2.779660138,1.129348967
0.8,0.829837,bar,color,Alex 2,-2.691177834,1.636311398
0.785,0.778313,bar,color,Alex 2,-2.924815164,-0.333334289
0.655,0.682278,bar,color,Alex 2,-2.715220568,1.512378608
0.92,0.915276,bar,color,Alex 2,-2.94648268,-0.743230857
0.13,0.177914,bar,color,Alex 2,-2.531873413,2.297602299
0.595,0.601575,bar,color,Alex 2,-2.9260427,-0.353837343
0.5,0.468983,bar,color,Alex 2,-2.680224858,1.690059451
0.2475,0.274936,bar,color,Alex 2,-2.713724438,1.520346812
0.2,0.243574,bar,color,Alex 2,-2.568546055,2.164271398
0.5,0.393162,pie,color,Alex 2,-2.108811041,3.434134458
0.3,0.277487,pie,color,Alex 2,-2.761085993,1.248716983
0.2525,0.290653,pie,color,Alex 2,-2.615702579,1.978305475
0.4,0.699627,pie,color,Alex 2,-1.235731987,4.911101922
0.1625,0.146718,pie,color,Alex 2,-2.828465208,0.768247855
0.3,0.38765,pie,color,Alex 2,-2.23344724,3.152183419
0.6,0.549539,pie,color,Alex 2,-2.510777699,2.370471204
1,0.990826,pie,color,Alex 2,-2.897822959,0.059908989
0.8,0.683544,pie,color,Alex 2,-2.050167781,3.557115958
0.95,0.933036,pie,color,Alex 2,-2.816402965,0.865047789
0.145,0.130326,donut,color,Alex 2,-2.839864604,0.671202777
0.6,0.524706,donut,color,Alex 2,-2.31980889,2.936289295
0.75,0.715867,donut,color,Alex 2,-2.651695051,1.823056374
0.165,0.140777,donut,color,Alex 2,-2.744458177,1.348968878
1,0.87883,donut,color,Alex 2,-2.022273139,3.613767368
0.8525,0.740741,donut,color,Alex 2,-2.078508826,3.498365768
0.3325,0.416149,donut,color,Alex 2,-2.260850089,3.085747561
0.225,0.252336,donut,color,Alex 2,-2.714671175,1.51530876
0.3,0.331053,donut,color,Alex 2,-2.679892003,1.691668155
1,0.989183,donut,color,Alex 2,-2.880264024,0.27106705
0.1275,0.164794,bar,color,Pooja 2,-2.62331843,1.946506299
0.2875,0.280922,bar,color,Pooja 2,-2.926009806,-0.353284339
0.605,0.562791,bar,color,Pooja 2,-2.580275593,2.119654978
0.37,0.342105,bar,color,Pooja 2,-2.709386867,1.543248402
0.4075,0.412916,bar,color,Pooja 2,-2.938807218,-0.585106777
0.6025,0.567204,bar,color,Pooja 2,-2.64118967,1.86971351
0.12,0.135443,bar,color,Pooja 2,-2.831943376,0.739243254
1,0.986014,bar,color,Pooja 2,-2.846988527,0.607484193
0.97,0.979866,bar,color,Pooja 2,-2.890401407,0.15263774
0.8725,0.871863,bar,color,Pooja 2,-2.992666696,-2.405833672
0.86,0.911628,pie,color,Pooja 2,-2.50121403,2.402667611
0.335,0.376238,pie,color,Pooja 2,-2.588677892,2.087055435
