givenAnswer,expectedAnswer,chartType,colorType,UID,firstTryError,actualError
0.395,0.422559,bar,dot,Alex 1,-2.712560803,1.526519583
0.6075,0.657986,bar,dot,Alex 1,-2.510572156,2.371168515
0.405,0.418079,bar,dot,Alex 1,-2.856434174,0.51893793
0.7475,0.771205,bar,dot,Alex 1,-2.749474938,1.319328904
0.2525,0.236297,bar,dot,Alex 1,-2.824157354,0.803475043
0.8,0.799486,bar,dot,Alex 1,-2.994079802,-2.503077534
0.4075,0.39719,bar,dot,Alex 1,-2.88565963,0.209141398
0.6825,0.718327,bar,dot,Alex 1,-2.636418465,1.890524516
0.55,0.574906,bar,dot,Alex 1,-2.737869966,1.387141928
0.5025,0.512422,bar,dot,Alex 1,-2.889802486,0.159887479
0.65,0.628399,pie,dot,Alex 1,-2.77003315,1.192257302
0.455,0.501818,pie,dot,Alex 1,-2.541046911,2.265076777
0.9525,0.857494,pie,dot,Alex 1,-2.184385225,3.266876472
0.995,0.992958,pie,dot,Alex 1,-2.976622565,-1.602963759
0.105,0.152249,pie,dot,Alex 1,-2.537432488,2.277955001
0.84,0.731707,pie,dot,Alex 1,-2.099785075,3.453425391
0.3375,0.420645,pie,dot,Alex 1,-2.264339192,3.077157529
0.3375,0.372832,pie,dot,Alex 1,-2.640865699,1.871133952
0.095,0.135091,pie,dot,Alex 1,-2.598666622,2.047573287
0.2425,0.308725,pie,dot,Alex 1,-2.386656947,2.754353072
0.9175,0.852649,donut,dot,Alex 1,-2.397060497,2.724672098
0.545,0.529183,donut,dot,Alex 1,-2.828106582,0.771209487
0.245,0.304783,donut,dot,Alex 1,-2.43609606,2.609589506
0.1775,0.248322,donut,dot,Alex 1,-2.352385238,2.849438881
0.855,0.792053,donut,dot,Alex 1,-2.411602208,2.68250588
0.855,0.841746,donut,dot,Alex 1,-2.854606873,0.53645083
0.8025,0.828367,donut,dot,Alex 1,-2.728650823,1.439197579
0.45,0.540541,donut,dot,Alex 1,-2.213965771,3.198352706
0.8775,0.756198,donut,dot,Alex 1,-2.021499752,3.615322123
0.7925,0.7162,donut,dot,Alex 1,-2.312580923,2.955126781
0.47,0.567598,bar,dot,Pooja 1,-2.167487464,3.305211776
0.51,0.451923,bar,dot,Pooja 1,-2.449477538,2.568688832
0.4025,0.583174,bar,dot,Pooja 1,-1.70993425,4.185263975
0.17,0.144981,bar,dot,Pooja 1,-2.736782864,1.393361281
0.885,0.845771,bar,dot,Pooja 1,-2.60621919,2.01717365
0.4475,0.526232,bar,dot,Pooja 1,-2.295255494,2.999675357
0.625,0.688562,bar,dot,Pooja 1,-2.406889129,2.696260954
0.685,0.657807,bar,dot,Pooja 1,-2.71602609,1.50807364
0.95,0.876277,bar,dot,Pooja 1,-2.331169237,2.906371132
0.5125,0.502564,bar,dot,Pooja 1,-2.889652794,0.161694235
0.815,0.694986,pie,dot,Pooja 1,-2.029063908,3.600079412
0.4175,0.308848,pie,dot,Pooja 1,-2.097566709,3.458145736
0.33,0.329854,pie,dot,Pooja 1,-2.998315916,-2.840629153
0.5025,0.507009,pie,dot,Pooja 1,-2.948875736,-0.796109773
0.4075,0.384314,pie,dot,Pooja 1,-2.754518941,1.289008146
0.9625,0.852433,pie,dot,Pooja 1,-2.088856075,3.476602028
0.2125,0.296203,pie,dot,Pooja 1,-2.260476756,3.086664895
0.3275,0.316062,pie,dot,Pooja 1,-2.873682583,0.343464676
0.865,0.707376,pie,dot,Pooja 1,-1.823044113,3.989811139
0.59,0.50813,pie,dot,Pooja 1,-2.273203652,3.055195654
0.2125,0.295736,donut,dot,Pooja 1,-2.26370859,3.078712295
0.4225,0.623693,donut,dot,Pooja 1,-1.616202272,4.339443854
0.4175,0.42093,donut,dot,Pooja 1,-2.960945854,-1.095419565
0.6225,0.556667,donut,dot,Pooja 1,-2.389617422,2.745947209
0.955,0.840731,donut,dot,Pooja 1,-2.063294603,3.530058253
0.5275,0.493311,donut,dot,Pooja 1,-2.651187446,1.825337895
0.11,0.152542,donut,dot,Pooja 1,-2.577405294,2.13066734
0.5075,0.514134,donut,dot,Pooja 1,-2.925395921,-0.343000319
0.365,0.40225,donut,dot,Pooja 1,-2.623709617,1.944858446
0.0525,0.089552,donut,dot,Pooja 1,-2.625471269,1.937419727
0.5575,0.589986,bar,dot,Alex 2,-2.666704512,1.754288927
0.44,0.486386,bar,dot,Alex 2,-2.54467883,2.252052275
0.8625,0.835189,bar,dot,Alex 2,-2.714907957,1.514046493
0.5925,0.634183,bar,dot,Alex 2,-2.584821124,2.102086987
0.75,0.746736,bar,dot,Alex 2,-2.96281179,-1.147521676
0.6625,0.676179,bar,dot,Alex 2,-2.850178756,0.578117532
0.525,0.501241,bar,dot,Alex 2,-2.74895114,1.322447372
0.25,0.245863,bar,dot,Alex 2,-2.953025678,-0.89244603
0.395,0.403608,bar,dot,Alex 2,-2.903921701,-0.020633114
0.45,0.433628,bar,dot,Alex 2,-2.822431685,0.817377672
0.9,0.936709,pie,dot,Alex 2,-2.62852812,1.924441986
0.18,0.175904,pie,dot,Alex 2,-2.953483795,-0.903468257
0.335,0.29454,pie,dot,Alex 2,-2.595445608,2.060393312
0.6,0.593407,pie,dot,Alex 2,-2.925845347,-0.350522495
0.8,0.804071,pie,dot,Alex 2,-2.953763206,-0.910230691
