givenAnswer,expectedAnswer,chartType,colorType,UID,firstTryError,actualError
0.8925,0.844702,bar,color,Alex 1,-2.532841575,2.29419431
0.255,0.315476,bar,color,Alex 1,-2.430695576,2.625878304
0.4225,0.411261,bar,color,Alex 1,-2.875788344,0.320657964
0.4575,0.466267,bar,color,Alex 1,-2.902205844,0.002450499
0.1675,0.185714,bar,color,Alex 1,-2.803755564,0.960808225
0.91,0.853301,bar,color,Alex 1,-2.460377615,2.534783766
0.74,0.733238,bar,color,Alex 1,-2.923993736,-0.319765674
0.985,0.970455,bar,color,Alex 1,-2.841197662,0.659467937
0.4225,0.404412,bar,color,Alex 1,-2.805025409,0.951438594
0.3325,0.348921,bar,color,Alex 1,-2.821931729,0.821383684
0.395,0.422559,bar,dot,Alex 1,-2.712560803,1.526519583
0.6075,0.657986,bar,dot,Alex 1,-2.510572156,2.371168515
0.405,0.418079,bar,dot,Alex 1,-2.856434174,0.51893793
0.7475,0.771205,bar,dot,Alex 1,-2.749474938,1.319328904
0.2525,0.236297,bar,dot,Alex 1,-2.824157354,0.803475043
0.8,0.799486,bar,dot,Alex 1,-2.994079802,-2.503077534
0.4075,0.39719,bar,dot,Alex 1,-2.88565963,0.209141398
0.6825,0.718327,bar,dot,Alex 1,-2.636418465,1.890524516
0.55,0.574906,bar,dot,Alex 1,-2.737869966,1.387141928
0.5025,0.512422,bar,dot,Alex 1,-2.889802486,0.159887479
0.3375,0.368831,pie,color,Alex 1,-2.677324206,1.704030885
0.915,0.856863,pie,color,Alex 1,-2.4490048,2.570147155
0.2625,0.416438,pie,color,Alex 1,-1.841983607,3.9559451
0.5025,0.555423,pie,color,Alex 1,-2.490675076,2.437573987
0.045,0.061979,pie,color,Alex 1,-2.816250537,0.866235421
0.93,0.730114,pie,color,Alex 1,-1.621994519,4.330099418
0.0575,0.10817,pie,color,Alex 1,-2.509060258,2.376290383
0.875,0.782822,pie,color,Alex 1,-2.203050128,3.223854985
0.305,0.354922,pie,color,Alex 1,-2.515216346,2.355354621
0.91,0.776087,pie,color,Alex 1,-1.94946069,3.756628372
0.65,0.628399,pie,dot,Alex 1,-2.77003315,1.192257302
0.455,0.501818,pie,dot,Alex 1,-2.541046911,2.265076777
0.9525,0.857494,pie,dot,Alex 1,-2.184385225,3.266876472
0.995,0.992958,pie,dot,Alex 1,-2.976622565,-1.602963759
0.105,0.152249,pie,dot,Alex 1,-2.537432488,2.277955001
0.84,0.731707,pie,dot,Alex 1,-2.099785075,3.453425391
0.3375,0.420645,pie,dot,Alex 1,-2.264339192,3.077157529
0.3375,0.372832,pie,dot,Alex 1,-2.640865699,1.871133952
0.095,0.135091,pie,dot,Alex 1,-2.598666622,2.047573287
0.2425,0.308725,pie,dot,Alex 1,-2.386656947,2.754353072
0.295,0.384405,donut,color,Alex 1,-2.221589545,3.180386593
0.2475,0.37738,donut,color,Alex 1,-1.972109923,3.712925879
0.8825,0.953425,donut,color,Alex 1,-2.351626598,2.851499202
0.49,0.61136,donut,color,Alex 1,-2.021160062,3.616004744
0.9,0.893048,donut,color,Alex 1,-2.921914877,-0.285952351
0.8575,0.801262,donut,color,Alex 1,-2.464042619,2.52326084
0.165,0.225446,donut,color,Alex 1,-2.430928945,2.625176957
0.59,0.61753,donut,color,Alex 1,-2.712835071,1.525066592
0.83,0.815857,donut,color,Alex 1,-2.845359763,0.622274431
0.275,0.364829,donut,color,Alex 1,-2.218739337,3.187118452
0.9175,0.852649,donut,dot,Alex 1,-2.397060497,2.724672098
0.545,0.529183,donut,dot,Alex 1,-2.828106582,0.771209487
0.245,0.304783,donut,dot,Alex 1,-2.43609606,2.609589506
0.1775,0.248322,donut,dot,Alex 1,-2.352385238,2.849438881
0.855,0.792053,donut,dot,Alex 1,-2.411602208,2.68250588
0.855,0.841746,donut,dot,Alex 1,-2.854606873,0.53645083
0.8025,0.828367,donut,dot,Alex 1,-2.728650823,1.439197579
0.45,0.540541,donut,dot,Alex 1,-2.213965771,3.198352706
0.8775,0.756198,donut,dot,Alex 1,-2.021499752,3.615322123
0.7925,0.7162,donut,dot,Alex 1,-2.312580923,2.955126781
0.66,0.608635,bar,color,Pooja 1,-2.503363811,2.395474156
0.3025,0.39243,bar,color,Pooja 1,-2.218061226,3.188717409
0.2025,0.23348,bar,color,Pooja 1,-2.680567039,1.688404188
0.5,0.523522,bar,color,Pooja 1,-2.751251447,1.308710351
0.5,0.532297,bar,color,Pooja 1,-2.668436939,1.746183757
0.8025,0.842,bar,color,Pooja 1,-2.603840511,2.026800059
0.4,0.47619,bar,color,Pooja 1,-2.313369496,2.953078953
0.6475,0.612595,bar,color,Pooja 1,-2.644713044,1.854195176
0.2925,0.35,bar,color,Pooja 1,-2.454031631,2.554588852
0.205,0.288618,bar,color,Pooja 1,-2.261064453,3.085220679
0.47,0.567598,bar,dot,Pooja 1,-2.167487464,3.305211776
0.51,0.451923,bar,dot,Pooja 1,-2.449477538,2.568688832
0.4025,0.583174,bar,dot,Pooja 1,-1.70993425,4.185263975
0.17,0.144981,bar,dot,Pooja 1,-2.736782864,1.393361281
0.885,0.845771,bar,dot,Pooja 1,-2.60621919,2.01717365
0.4475,0.526232,bar,dot,Pooja 1,-2.295255494,2.999675357
0.625,0.688562,bar,dot,Pooja 1,-2.406889129,2.696260954
0.685,0.657807,bar,dot,Pooja 1,-2.71602609,1.50807364
0.95,0.876277,bar,dot,Pooja 1,-2.331169237,2.906371132
0.5125,0.502564,bar,dot,Pooja 1,-2.889652794,0.161694235
0.2375,0.351613,pie,color,Pooja 1,-2.064235527,3.528108682
0.9425,0.825581,pie,color,Pooja 1,-2.047404014,3.562779709
0.985,0.770563,pie,color,Pooja 1,-1.558784262,4.430867319
0.195,0.132997,pie,color,Pooja 1,-2.41886668,2.661133906
0.0675,0.087312,pie,color,Pooja 1,-2.787746937,1.074642438
0.995,0.874854,pie,color,Pooja 1,-2.028286873,3.60164898
0.995,0.952164,pie,color,Pooja 1,-2.574875895,2.140320585
0.85,0.59605,pie,color,Pooja 1,-1.399920588,4.673556424
0.3325,0.193671,pie,color,Pooja 1,-1.922324941,3.808168785
0.51,0.545775,pie,color,Pooja 1,-2.636885005,1.888499736
0.815,0.694986,pie,dot,Pooja 1,-2.029063908,3.600079412
0.4175,0.308848,pie,dot,Pooja 1,-2.097566709,3.458145736
0.33,0.329854,pie,dot,Pooja 1,-2.998315916,-2.840629153
0.5025,0.507009,pie,dot,Pooja 1,-2.948875736,-0.796109773
0.4075,0.384314,pie,dot,Pooja 1,-2.754518941,1.289008146
0.9625,0.852433,pie,dot,Pooja 1,-2.088856075,3.476602028
0.2125,0.296203,pie,dot,Pooja 1,-2.260476756,3.086664895
0.3275,0.316062,pie,dot,Pooja 1,-2.873682583,0.343464676
0.865,0.707376,pie,dot,Pooja 1,-1.823044113,3.989811139
0.59,0.50813,pie,dot,Pooja 1,-2.273203652,3.055195654
