y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101,y102,y103,y104,y105,y106,y107,y108,y109,y110,y111,y112,y113,y114,y115,y116,y117,y118,y119,y120
33,35,24,20,25,27,11,31,15,28,8,15,2,31,28,5,8,37,37,24,6,10,10,8,18,14,12,14,13,1,3,20,21,8,20,3,5,11,17,12,21,18,15,16,17,16,17,2,3,21,15,1,15,20,7,11,3,13,14,17,12,5,3,10,15,2,6,19,5,15,7,16,16,11,5,15,15,9,4,15,17,3,8,15,18,3,4,16,18,2,9,14,20,11,9,17,11,12,12,21,2,2,15,5,8,16,17,6,21,2,4,6,21,11,6,12,7,8,13,19
7,15,36,39,10,33,16,27,26,30,32,38,29,36,32,34,20,14,8,24,18,18,11,19,25,23,18,6,9,4,18,7,19,21,5,4,6,19,5,15,9,5,17,6,19,17,15,5,18,19,22,13,23,6,17,19,8,17,22,18,22,4,18,13,8,23,12,15,3,20,18,19,22,10,18,4,4,6,23,17,16,16,10,22,20,12,21,21,6,16,12,21,10,12,7,14,20,5,5,5,7,11,18,21,23,13,22,9,18,11,22,23,11,4,13,5,19,5,8,7
48,30,18,27,35,39,36,34,10,17,29,11,37,22,39,17,33,36,46,32,29,34,38,24,38,38,37,20,9,10,24,7,7,13,20,22,9,19,15,18,19,7,24,11,22,16,6,12,9,20,8,13,12,22,21,22,25,14,5,17,22,13,24,21,13,11,10,23,7,7,24,14,15,12,9,6,16,22,12,18,13,10,10,16,17,17,22,24,18,8,15,24,5,19,18,16,18,10,21,12,9,13,21,8,6,7,15,23,23,8,9,23,18,12,21,21,19,11,12,14
63,62,38,42,55,41,44,32,39,55,56,55,67,69,44,61,57,59,40,57,44,41,51,49,59,53,42,11,1,18,13,1,3,17,4,8,10,1,10,18,6,0,8,11,1,17,7,19,10,0,14,13,6,13,13,2,15,16,14,15,20,0,4,12,11,5,9,18,3,8,9,18,1,15,10,12,10,0,6,8,17,9,17,4,0,4,14,4,3,10,0,11,18,16,1,18,2,15,6,4,14,5,12,3,17,11,12,3,9,3,14,1,10,8,15,0,19,2,10,8
60,43,65,33,56,65,40,44,32,59,51,56,50,51,34,31,33,55,41,34,86,87,86,83,86,76,81,7,8,12,15,21,18,25,24,20,25,12,11,18,20,8,24,15,19,19,21,10,15,17,7,13,24,10,12,15,22,12,20,10,19,17,24,25,15,17,23,9,11,10,12,23,19,16,8,24,15,18,22,12,15,24,27,10,22,14,21,25,20,15,10,11,11,25,26,8,9,8,24,25,24,12,23,13,21,13,21,27,10,13,11,12,17,17,8,19,22,16,13,19
52,74,80,51,49,42,44,53,75,48,71,75,71,60,66,62,44,72,78,45,63,79,73,80,76,73,63,34,22,25,34,31,21,22,38,30,34,35,30,39,20,35,24,40,34,30,25,21,31,36,37,20,25,34,32,28,34,34,36,22,23,39,20,36,25,35,39,30,35,27,26,20,25,24,38,40,20,39,24,29,38,36,34,20,25,31,29,23,24,27,30,24,20,23,25,38,22,34,23,32,23,22,36,34,22,24,29,33,29,31,35,29,24,33,40,27,22,39,25,32
76,74,72,67,87,86,64,70,76,77,57,62,82,61,76,77,58,74,78,75,49,42,44,42,35,34,35,29,20,17,30,29,15,24,21,14,16,13,23,29,17,23,17,27,14,17,18,11,28,23,10,25,15,21,20,10,22,16,30,29,25,29,24,17,22,18,20,28,25,17,22,16,28,22,14,22,11,26,19,30,28,16,26,23,26,27,24,21,24,18,10,24,20,13,19,16,25,25,20,26,17,17,12,11,26,18,26,18,25,25,19,10,19,22,18,14,29,21,25,14
80,85,69,94,78,90,90,92,88,93,83,87,75,76,90,91,74,72,91,90,36,33,34,28,40,38,26,16,20,10,13,20,16,17,10,16,15,24,10,25,17,22,7,23,16,11,24,12,17,17,20,20,11,16,15,14,6,11,24,13,14,10,14,10,22,10,23,7,22,25,14,24,11,16,16,8,9,19,24,12,6,16,23,19,20,23,17,10,18,20,10,5,10,7,7,19,20,10,20,16,8,23,16,25,12,14,13,10,6,22,5,11,25,19,11,23,13,7,19,5
78,82,65,66,86,77,67,93,83,76,70,62,96,87,67,69,84,58,94,94,47,49,39,52,37,46,43,9,17,19,20,18,15,17,13,23,16,8,19,15,6,10,23,13,5,14,22,12,10,20,14,20,18,14,22,10,17,5,19,17,9,9,18,9,15,5,9,9,9,8,12,10,19,17,22,18,13,12,19,12,6,25,9,15,15,12,9,17,9,9,10,17,19,17,6,20,8,14,20,20,8,21,15,10,19,20,18,12,21,17,16,19,20,11,7,23,24,7,21,8
84,63,91,57,73,92,64,79,62,78,92,55,74,76,65,67,60,60,65,86,30,28,27,28,29,31,24,21,18,18,20,11,6,2,9,8,11,2,14,20,11,8,6,16,2,3,7,11,14,12,9,19,12,12,4,3,9,7,10,11,9,14,15,6,7,7,15,14,20,10,21,19,14,2,5,18,15,19,22,13,5,9,7,13,8,15,9,7,5,13,4,14,17,3,7,7,8,21,19,16,11,20,22,6,13,22,12,15,15,11,5,6,18,9,15,12,12,6,7,11
