y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101,y102,y103,y104,y105,y106,y107,y108,y109,y110,y111,y112,y113,y114,y115,y116,y117,y118,y119,y120
14,56,7,55,43,18,30,54,49,54,11,34,15,34,38,59,46,14,28,35,59,51,8,29,20,22,52,52,46,8,24,3,5,11,30,8,40,35,22,23,39,3,17,28,38,34,14,24,23,25,16,31,10,23,55,25,56,12,13,39,52,1,48,46,37,26,12,33,34,15,6,20,43,57,52,9,35,11,41,18,56,58,9,35,15,51,49,38,58,3,20,33,52,1,57,17,26,21,48,50,4,39,6,1,58,26,31,51,37,36,58,28,16,49,9,9,52,57,33,18
40,19,18,56,48,20,66,25,52,27,44,33,25,68,55,29,22,67,70,40,62,59,37,65,20,68,14,55,55,52,30,33,24,33,36,22,23,44,46,43,23,27,56,28,31,54,21,20,32,15,64,42,57,20,67,68,44,54,34,54,18,10,52,23,57,20,10,69,42,39,31,40,37,54,47,42,62,56,32,35,65,33,13,57,62,40,26,60,31,58,37,61,67,68,20,60,43,31,39,40,25,13,25,28,60,18,12,62,12,67,69,65,67,35,31,55,18,35,69,30
23,23,45,55,45,62,33,48,79,22,78,72,36,61,48,33,28,49,72,37,47,36,79,42,51,23,64,70,25,47,78,52,49,57,44,21,34,21,51,60,21,37,74,51,66,38,56,50,56,45,59,49,49,46,75,50,28,23,43,40,30,33,75,66,28,60,62,31,39,60,53,44,22,32,24,42,47,47,68,72,41,41,57,67,49,43,77,71,20,30,72,40,69,39,73,59,21,43,70,40,43,46,27,26,33,29,41,45,44,63,51,73,79,29,53,67,23,27,60,55
89,79,78,72,57,43,82,47,60,62,53,47,80,41,42,79,32,79,51,54,89,82,31,84,31,82,51,60,86,71,86,75,68,70,69,31,75,58,46,31,67,76,59,74,88,35,33,57,65,47,64,42,39,37,90,86,85,69,59,51,63,82,48,77,66,57,56,31,34,72,43,42,41,56,50,52,79,36,51,39,84,79,85,73,31,83,36,52,64,36,82,48,79,87,45,88,56,81,38,38,86,80,69,65,40,76,84,47,72,48,32,48,42,84,45,82,63,38,69,88
77,83,63,76,40,69,63,75,97,96,82,73,66,90,74,92,65,52,94,61,75,54,76,72,89,92,51,53,60,66,74,76,61,84,95,40,67,59,98,71,55,78,54,62,86,69,64,79,90,50,84,43,66,89,47,65,75,80,46,77,43,49,94,93,68,89,67,79,81,73,51,51,48,61,57,58,40,86,79,85,49,63,55,63,44,63,50,74,83,81,80,81,83,92,61,42,42,62,61,46,75,48,41,69,75,60,68,45,94,65,97,89,72,54,65,40,90,77,74,94
74,73,66,78,72,41,61,46,76,59,72,66,78,79,80,86,62,40,58,97,55,77,47,49,43,93,70,46,96,70,93,68,74,58,98,38,96,47,64,86,70,84,42,56,73,58,46,83,67,42,42,68,67,64,57,66,90,82,75,70,97,85,60,53,97,92,87,72,56,71,65,39,57,97,75,47,93,96,73,70,67,58,56,81,45,92,42,98,59,78,78,88,72,71,82,45,43,51,77,69,94,79,51,79,74,92,45,97,86,93,58,52,47,92,42,76,89,40,77,70
73,72,59,59,44,78,63,31,40,44,79,39,43,64,33,63,45,62,52,70,86,88,44,66,50,68,76,43,42,83,83,83,44,71,83,41,56,72,47,41,79,70,34,43,49,53,43,54,49,87,31,54,33,78,73,69,32,44,55,89,41,44,45,58,44,44,34,34,89,87,34,53,31,62,51,78,74,76,64,55,77,64,64,89,67,51,81,73,89,52,47,31,52,33,48,82,83,48,76,83,65,51,50,47,55,47,85,32,35,80,37,35,90,50,30,82,65,54,86,83
44,68,70,48,81,57,50,79,53,44,45,70,41,72,57,62,30,77,26,63,38,47,64,72,59,83,63,66,81,57,66,83,29,58,37,72,41,45,51,84,27,26,61,49,60,41,37,52,45,34,56,39,54,61,80,59,48,46,65,77,66,75,46,44,69,69,31,34,45,48,47,72,55,46,28,36,61,33,59,81,72,72,57,49,36,63,34,49,69,44,42,49,26,79,78,78,33,41,44,64,64,54,50,62,48,74,81,80,57,73,62,52,36,39,73,58,27,35,62,42
21,75,53,70,79,80,56,30,35,51,60,28,61,70,73,42,70,36,31,61,56,51,72,29,73,52,64,60,25,60,42,76,23,37,36,26,74,25,45,39,47,50,58,68,53,51,51,32,75,21,49,49,56,32,22,59,38,62,28,76,22,26,80,66,25,42,27,57,28,54,56,53,27,53,25,56,42,33,23,58,43,37,40,64,46,70,42,71,78,67,61,72,27,46,67,68,65,78,65,37,43,32,39,40,21,33,52,34,39,66,45,68,39,36,24,56,70,53,77,27
21,58,32,20,11,52,50,22,18,46,57,11,14,19,22,30,68,39,47,54,22,66,60,35,69,23,12,30,44,35,53,18,44,36,63,28,33,55,43,61,63,32,18,46,53,65,68,57,33,49,16,18,50,59,65,21,52,56,35,64,62,20,17,67,51,48,47,43,39,28,43,35,54,65,52,65,42,34,10,38,40,23,45,69,50,24,63,12,44,28,16,53,21,69,69,64,42,48,36,45,15,15,58,40,59,35,21,66,67,29,14,33,17,42,65,44,62,13,12,32
54,41,63,43,61,13,28,23,33,38,36,56,13,39,16,24,60,49,27,7,43,29,55,42,17,29,39,29,48,31,38,38,25,17,26,38,13,7,54,55,11,14,52,10,60,48,20,20,50,14,47,37,32,50,39,12,36,16,63,44,32,21,17,35,65,26,65,44,66,50,35,61,8,44,47,35,22,46,44,30,65,19,18,34,56,43,15,48,28,49,36,33,14,36,32,45,49,13,26,39,52,51,8,40,67,15,34,22,9,16,41,43,20,22,23,41,65,61,9,50
35,14,39,57,6,50,20,29,21,17,57,30,23,57,20,1,35,35,47,41,6,45,50,59,27,24,59,5,47,36,34,52,39,20,51,29,58,34,10,52,9,38,7,49,56,37,6,44,7,57,26,26,36,5,12,43,52,24,39,46,6,5,1,45,40,25,4,54,15,37,46,51,28,18,49,41,32,50,25,18,26,58,50,33,12,41,37,57,59,36,59,52,3,20,15,17,11,44,47,38,17,37,42,5,18,52,41,49,46,26,19,37,45,2,9,28,54,17,24,55
55,3,31,27,55,34,26,52,27,16,42,63,7,38,6,62,38,6,12,49,3,49,19,24,24,9,38,55,13,34,13,3,8,49,44,18,6,27,26,49,21,60,34,62,53,54,14,56,37,21,37,39,29,7,47,28,36,63,23,19,31,12,33,25,21,25,9,22,41,40,34,13,9,44,27,60,52,3,46,40,13,49,23,46,58,27,47,49,18,25,40,21,45,35,51,21,35,43,22,56,9,58,41,46,25,31,11,14,56,27,16,11,10,62,18,33,23,43,40,23
