pid,note,vis,trupercent,guess
kkk1,average for p1,bar_horizontal,57,60
kkk2,average for p2,bar_horizontal,57,65
kkk3,average for p3,bar_horizontal,57,55
kkk4,average for p4,bar_horizontal,57,60
kkk5,average for p5,bar_horizontal,57,55
kkk6,average for p6,bar_horizontal,57,65
kkk7,average for p7,bar_horizontal,57,60
kkk8,average for p8,bar_horizontal,57,45
kkk9,average for p9,bar_horizontal,57,55
kkk10,average for p10,bar_horizontal,57,50
kkk1,average for 1,bar_vertical,15.4,15
kkk2,average for 2,bar_vertical,15.4,15
kkk3,average for 3,bar_vertical,15.4,20
kkk4,average for 4,bar_vertical,15.4,20
kkk5,average for 5,bar_vertical,15.4,20
kkk6,average for 6,bar_vertical,15.4,25
kkk7,average for 7,bar_vertical,15.4,25
kkk8,average for 8,bar_vertical,15.4,15
kkk9,average for 9,bar_vertical,15.4,20
kkk10,average for 10,bar_vertical,15.4,15
kkk1,average for p1,pie_chart,12.8,15
kkk2,average for p2,pie_chart,12.8,10
kkk3,average for p3,pie_chart,12.8,12
kkk4,average for p4,pie_chart,12.8,20
kkk5,average for p5,pie_chart,12.8,15
kkk6,average for p6,pie_chart,12.8,15
kkk7,average for p7,pie_chart,12.8,20
kkk8,average for p8,pie_chart,12.8,15
kkk9,average for p9,pie_chart,12.8,12.5
kkk10,average for p10,pie_chart,12.8,20
kkk1,average for p1,tree_map,36.7,55
kkk2,average for p2,tree_map,36.7,50
kkk3,average for p3,tree_map,36.7,50
kkk4,average for p4,tree_map,36.7,50
kkk5,average for p5,tree_map,36.7,35
kkk6,average for p6,tree_map,36.7,40
kkk7,average for p7,tree_map,36.7,65
kkk8,average for p8,tree_map,36.7,40
kkk9,average for p9,tree_map,36.7,60
kkk10,average for p10,tree_map,36.7,40
