id,trial,vis,guess,actual,error
ID_1661123796896,1.0,treemap,20.0,26.0,2.6147098441152083
ID_1661123796896,2.0,treemap,33.0,64.0,4.960001932068081
ID_1661123796896,3.0,pie,33.0,51.0,4.1799090900149345
ID_1661123796896,4.0,treemap,80.0,86.0,2.6147098441152083
ID_1661123796896,5.0,pie,80.0,92.0,3.599912842187128
ID_1661123796896,6.0,bar,65.0,73.0,3.0223678130284544
ID_1661123796896,7.0,treemap,26.0,29.0,1.6438561897747248
ID_1661123796896,8.0,bar,20.0,23.0,1.6438561897747248
ID_1661123796896,9.0,bar,76.0,67.0,3.189824558880017
ID_1661123796896,10.0,treemap,40.0,52.0,3.599912842187128
ID_1661123796896,11.0,pie,15.0,23.0,3.0223678130284544
ID_1661123796896,12.0,treemap,95.0,72.0,4.531381460516312
ID_1661123796896,13.0,treemap,40.0,42.0,1.0874628412503393
ID_1661123796896,14.0,pie,33.0,38.0,2.357552004618084
ID_1661123796896,15.0,bar,55.0,56.0,0.16992500144231237
ID_1661123796896,16.0,treemap,33.0,37.0,2.0443941193584534
ID_1661123796896,18.0,treemap,30.0,36.0,2.6147098441152083
ID_1661123796896,19.0,bar,80.0,74.0,2.6147098441152083
ID_1661123796896,20.0,bar,55.0,53.0,1.0874628412503393
ID_1661123796896,22.0,bar,66.0,74.0,3.0223678130284544
ID_1661123796896,23.0,bar,95.0,94.0,0.16992500144231237
ID_1661123796896,24.0,pie,40.0,57.0,4.098032082960526
ID_1661123796896,25.0,pie,90.0,68.0,4.467605550082998
ID_1661123796896,26.0,treemap,65.0,68.0,1.6438561897747248
ID_1661123796896,27.0,bar,77.0,78.0,0.16992500144231237
ID_1661123796896,28.0,treemap,10.0,23.0,3.7142455176661224
ID_1661123796896,29.0,treemap,70.0,60.0,3.3398500028846247
ID_1661123796896,30.0,bar,70.0,67.0,1.6438561897747248
ID_1661123796896,31.0,pie,70.0,61.0,3.189824558880017
ID_1661123796896,32.0,bar,80.0,79.0,0.16992500144231237
ID_1661123796896,33.0,treemap,40.0,49.0,3.189824558880017
ID_1661123796896,34.0,bar,48.0,50.0,1.0874628412503393
ID_1661123796896,35.0,pie,90.0,81.0,3.189824558880017
ID_1661123796896,36.0,pie,100.0,92.0,3.0223678130284544
ID_1661123796896,37.0,treemap,20.0,24.0,2.0443941193584534
ID_1661123796896,38.0,pie,35.0,48.0,3.7142455176661224
ID_1661123796896,39.0,pie,90.0,85.0,2.357552004618084
ID_1661123796896,40.0,treemap,80.0,77.0,1.6438561897747248
ID_1661123796896,41.0,pie,66.0,53.0,3.7142455176661224
ID_1661123796896,42.0,pie,28.0,31.0,1.6438561897747248
ID_1661123796896,43.0,pie,100.0,92.0,3.0223678130284544
ID_1661123796896,44.0,pie,20.0,22.0,1.0874628412503393
ID_1661123796896,45.0,bar,38.0,39.0,0.16992500144231237
ID_1661123796896,46.0,treemap,96.0,95.0,0.16992500144231237
ID_1661123796896,47.0,pie,15.0,23.0,3.0223678130284544
ID_1661123796896,48.0,treemap,90.0,89.0,0.16992500144231237
ID_1661123796896,49.0,treemap,80.0,72.0,3.0223678130284544
ID_1661123796896,50.0,pie,85.0,89.0,2.0443941193584534
ID_1661123796896,51.0,bar,80.0,78.0,1.0874628412503393
ID_1661123796896,52.0,pie,78.0,63.0,3.9188632372745946
ID_1661123796896,53.0,treemap,80.0,73.0,2.8328900141647417
ID_1661123796896,54.0,treemap,80.0,72.0,3.0223678130284544
ID_1661123796896,55.0,bar,33.0,31.0,1.0874628412503393
ID_1661123796896,56.0,bar,23.0,28.0,2.357552004618084
ID_1661123796896,57.0,bar,63.0,62.0,0.16992500144231237
ID_1661123796896,58.0,pie,84.0,87.0,1.6438561897747248
ID_1661123796896,59.0,pie,90.0,100.0,3.3398500028846247
ID_1661123796896,60.0,bar,70.0,65.0,2.357552004618084
ID_1661123796896,17.0,bar,55.0,55.0,0.0
ID_1661123796896,21.0,bar,15.0,15.0,0.0
ID_1661131188509,1.0,treemap,40.0,55.0,3.9188632372745946
ID_1661131188509,2.0,treemap,20.0,28.0,3.0223678130284544
ID_1661131188509,3.0,treemap,20.0,34.0,3.820178962415188
ID_1661131188509,4.0,bar,25.0,29.0,2.0443941193584534
ID_1661131188509,5.0,bar,25.0,28.0,1.6438561897747248
ID_1661131188509,6.0,bar,65.0,68.0,1.6438561897747248
ID_1661131188509,7.0,bar,70.0,75.0,2.357552004618084
ID_1661131188509,8.0,treemap,40.0,49.0,3.189824558880017
ID_1661131188509,9.0,treemap,60.0,87.0,4.7615512324444795
ID_1661131188509,10.0,pie,30.0,29.0,0.16992500144231237
ID_1661131188509,11.0,bar,60.0,63.0,1.6438561897747248
ID_1661131188509,12.0,treemap,30.0,43.0,3.7142455176661224
ID_1661131188509,13.0,pie,20.0,34.0,3.820178962415188
ID_1661131188509,14.0,treemap,40.0,50.0,3.3398500028846247
ID_1661131188509,15.0,treemap,33.0,47.0,3.820178962415188
