Result,Trial,ChartType,CorrectAnswer,SubjectAnswer
0,0,BarChart,97,97
0,1,RadarChart,58,60
0,2,TreeMap,67,75
0,3,BarChart,50,47
0,4,RadarChart,20,20
0,5,TreeMap,79,70
0,6,BarChart,53,60
0,7,RadarChart,89,90
0,8,TreeMap,50,33
0,9,BarChart,98,97
0,10,RadarChart,43,45
0,11,TreeMap,92,100
0,12,BarChart,53,60
0,13,RadarChart,83,95
0,14,TreeMap,75,75
0,15,BarChart,17,20
0,16,RadarChart,64,65
0,17,TreeMap,45,33
0,18,BarChart,33,35
0,19,RadarChart,49,55
0,20,TreeMap,92,90
0,21,BarChart,69,75
0,22,RadarChart,19,20
0,23,TreeMap,16,10
0,24,BarChart,50,50
0,25,RadarChart,33,29
0,26,TreeMap,28,18
0,27,BarChart,94,95
0,28,RadarChart,45,45
0,29,TreeMap,49,50
0,30,BarChart,89,85
0,31,RadarChart,23,25
0,32,TreeMap,38,33
0,33,BarChart,95,95
0,34,RadarChart,48,60
0,35,TreeMap,85,83
0,36,BarChart,63,70
0,37,RadarChart,12,10
0,38,TreeMap,85,91.5
0,39,BarChart,91,87
0,40,RadarChart,41,50
0,41,TreeMap,89,100
0,42,BarChart,76,75
0,43,RadarChart,73,85
0,44,TreeMap,34,25
0,45,BarChart,97,97
0,46,RadarChart,95,100
0,47,TreeMap,53,50
0,48,BarChart,49,48
0,49,RadarChart,87,95
0,50,TreeMap,30,33
0,51,BarChart,79,83
0,52,RadarChart,54,65
0,53,TreeMap,65,75
0,54,BarChart,26,30
0,55,RadarChart,98,95
0,56,TreeMap,94,97
0,57,BarChart,56,65
0,58,RadarChart,34,33
0,59,TreeMap,36,33
1,0,BarChart,71,95
1,1,RadarChart,35,60
1,2,TreeMap,72,80
1,3,BarChart,15,10
1,4,RadarChart,19,5
1,5,TreeMap,36,80
1,6,BarChart,12,5
1,7,RadarChart,82,95
1,8,TreeMap,26,50
1,9,BarChart,67,80
1,10,RadarChart,32,12
1,11,TreeMap,49,60
1,12,BarChart,30,10
1,13,RadarChart,51,50
1,14,TreeMap,42,40
1,15,BarChart,100,100
1,16,RadarChart,77,60
1,17,TreeMap,65,50
1,18,BarChart,55,80
1,19,RadarChart,58,90
1,20,TreeMap,22,25
1,21,BarChart,28,33
